T..Majority.protein.IDs	DomA_c_1_mean	DomA_c_2_mean	DomA_c_3_mean	DomB_c_1_mean	DomB_c_2_mean	DomB_c_3_mean	CTRL_c_1_mean	CTRL_c_2_mean	CTRL_c_3_mean
Q9VQZ5	28.23566667	29.1349	27.13203333	28.7084	27.5452	28.3573	28.7659	28.51546667	28.72173333
Q9VQZ8	27.23883333	25.58943333	26.94423333	25.78226667	26.59673333	27.30826667	26.31206667	27.39253333	26.8609
Q9VR03	29.14216667	27.96183333	27.7396	27.8546	28.332	27.61446667	29.01523333	28.81526667	29.2684
Q9VR09	27.87633333	28.59156667	27.39833333	28.11623333	27.2991	26.51553333	27.39943333	24.14026667	24.94986667
Q9VR18	24.33373333	24.24343333	24.8681	24.7717	24.0392	24.86086667	25.29766667	26.3952	26.637
Q9VR20	23.95683333	24.67356667	25.05763333	22.9445	23.60026667	24.31226667	25.25633333	23.86586667	26.42256667
Q9VR29	23.34316667	25.17766667	24.96663333	23.49166667	23.5918	23.7244	25.22953333	25.26183333	25.61023333
Q9VR33	26.95406667	27.15176667	27.3652	27.16	27.4348	27.38893333	26.87736667	27.43816667	27.29276667
Q9VR42	24.4956	25.14773333	25.3484	24.20556667	24.53246667	25.31853333	25.8677	25.78976667	25.1526
Q9VR44	23.35273333	24.17843333	25.105	23.7406	23.66743333	25.68123333	24.68103333	24.43383333	24.18936667
Q9VR53	26.91393333	26.98283333	26.42943333	26.8771	26.6727	26.88633333	27.0293	27.1082	27.29003333
Q9VR56	23.8317	24.89916667	23.8162	25.14333333	24.80153333	26.07176667	25.77906667	25.3201	25.06393333
Q9VR57	26.55573333	26.0659	26.4374	26.0935	25.32526667	27.0005	25.21273333	24.79136667	24.64123333
Q9VR89	27.4897	27.16203333	27.70473333	27.37093333	27.29653333	27.4006	27.19876667	27.88993333	27.8507
Q9VR91	35.3283	35.0569	35.69256667	35.1898	35.51356667	34.51133333	35.12936667	34.38623333	34.43213333
Q9VR99	32.18623333	32.5756	32.4836	32.50763333	32.93133333	31.97806667	32.5222	32.51806667	32.68253333
Q9VRA1	24.148	23.68596667	23.97683333	23.31263333	23.2733	24.26903333	23.98573333	24.46023333	23.6452
Q9VRE0	29.9829	30.1332	30.40483333	29.9423	30.3535	30.15513333	29.65513333	30.40613333	30.323
